lat_long
"(47.73651609975508, -121.97671827981563)"
"(47.36486025, -122.03541730523055)"
"(47.7040479, -122.37112170021345)"
"(47.36782065, -122.03230202473173)"
"(47.6873838, -122.3707224)"
"(47.6947235, -122.2086606255319)"
"(47.56136189884566, -122.14344116213125)"
"(47.56136189884566, -122.14344116213125)"
"(47.36178235, -122.20437299951098)"
"(47.68994275, -122.10456317532558)"
"(47.56268335, -122.28143259727472)"
"(47.56268335, -122.28143259727472)"
"(47.4339625, -122.17133860353536)"
"(47.5211365, -122.34830024808527)"
"(47.5107392, -122.34037135138118)"
"(47.733769, -121.9774)"
"(47.3256061, -122.26646351304112)"
"(47.6980111, -122.27813795034575)"
"(47.3067336, -122.02514176435643)"
"(47.570213298628374, -122.1265881945135)"
"(47.33178145, -122.30563724999999)"
"(47.539331515633215, -122.07298828022645)"
"(47.75081202684564, -122.34811522818792)"
"(47.6192457, -122.2975112)"
"(47.34854885, -122.0403895)"
"(47.55352844230688, -122.35379917597699)"
"(47.75822553867714, -121.93570300722443)"
"(47.56450248979592, -122.38825108163265)"
"(47.3292826, -122.17867340508849)"
"(47.687973, -122.29063400000001)"
"(47.7763601, -122.23332371776891)"
"(47.2852805, -122.20323399005245)"
"(47.5783803, -122.0423356)"
"(47.486637, -122.15272624786326)"
"(47.76882457142857, -122.29253842857143)"
"(47.4415895, -122.2696725)"
"(47.68788295, -122.3328263)"
"(47.68788295, -122.3328263)"
"(47.73514815, -122.24579465)"
"(47.7352387, -122.24642345220764)"
"(47.534529, -122.222803)"
"(47.68006975, -122.35919206314539)"
"(47.421972, -122.21928035867909)"
"(47.362586, -122.207505)"
"(47.1955468, -121.9720606)"
"(47.508196850000004, -122.15375482501491)"
"(47.310408499999994, -122.3217314218685)"
"(47.2652635, -121.909611)"
"(47.6184473, -122.3551371)"
"(47.5477635, -122.3740575)"
"(47.6893169, -122.31033636630755)"
"(47.5391936, -122.3854308)"
"(47.62501216440408, -122.21941298417701)"
"(47.615750399999996, -122.29389392892554)"
"(47.64930390909091, -121.91023181818183)"
"(47.67299235, -122.17425617341453)"
"(47.72241669474518, -122.03079945264011)"
"(47.337581, -122.17663184970834)"
"(47.2982135, -122.11309095205479)"
"(47.3786738, -122.19437544660147)"
"(47.7284829, -122.21522088212362)"
"(47.67430615, -122.39253846792099)"
"(47.25869855, -122.22300703941372)"
"(47.7127455, -122.33167957113078)"
"(47.5656691, -122.27104086611249)"
"(47.50264310601585, -122.01956054592328)"
"(47.50264310601585, -122.01956054592328)"
"(47.5670023, -122.36196245)"
"(47.39316925, -122.30975866268399)"
"(47.39316925, -122.30975866268399)"
"(47.541801, -121.860401)"
"(47.51934765, -122.36291300520159)"
"(47.51934765, -122.36291300520159)"
"(47.73806134713671, -121.97477443057447)"
"(47.58009065, -122.29057445543052)"
"(47.496212549999996, -122.24118166032906)"
"(47.609708833333336, -122.1680461875)"
"(47.5550953, -122.31765873322529)"
"(47.61277306122449, -122.04713502040816)"
"(47.574751713568496, -122.03404569519574)"
"(47.41138465, -122.17315648518957)"
"(47.3931127, -122.3104338)"
"(47.73046565, -122.20097533995926)"
"(47.3916283, -122.21285398122497)"
"(47.6696128, -122.3930659)"
"(47.43735825, -122.1580191)"
"(47.48308130109748, -121.77168209620297)"
"(47.49968055, -122.329053475)"
"(47.570527, -122.139872)"
"(47.3278335, -122.19084707166064)"
"(47.6713694, -122.3894654)"
"(47.3329416, -122.2568268)"
"(47.37988795, -122.12348693985452)"
"(47.197687, -121.998462)"
"(47.743581219047876, -121.92514841031308)"
"(47.502892849999995, -122.19065532272766)"
"(47.627866850000004, -122.30903714531173)"
"(47.60552740660579, -122.19463919538227)"
"(47.659966049999994, -122.32482331478326)"
"(47.6054288, -122.1289858)"
"(47.53606036744921, -121.87037347940317)"
"(47.4449112, -122.1869926559866)"
"(47.4873143, -122.1657594)"
"(47.29539575, -122.27661591795922)"
"(47.50723085750287, -121.81027340188895)"
"(47.6117524, -122.30105194832416)"
"(47.4769532, -122.14660229699763)"
"(47.6421155, -122.34444506211672)"
"(47.3844785, -122.02762194872938)"
"(47.690532000000005, -122.27914455853067)"
"(47.77214798989899, -122.31752893939394)"
"(47.566779499999996, -122.31632539691347)"
"(47.69620725, -122.37458293738683)"
"(47.6480343, -122.3210335663249)"
"(47.5721012, -122.29075812715797)"
"(47.67426885, -122.3776853)"
"(47.5314272, -122.34775735534211)"
"(47.39903805, -122.3126836996089)"
"(47.7047065, -122.3073170565128)"
"(47.639354, -122.29911415128447)"
"(47.37153985, -122.06549089542597)"
"(47.32237445, -122.08957692733537)"
"(47.67760545, -122.35824058615546)"
"(47.64204315, -122.37291277889824)"
"(47.5251084, -122.16989435857143)"
"(47.613248, -122.29621399999999)"
"(47.452166500000004, -122.269163)"
"(47.69331305, -122.32146847708452)"
"(47.734316200520674, -121.96488611398519)"
"(47.29359995, -122.18896006625539)"
"(47.33786265, -122.2625735)"
"(47.1865365, -121.96029279010173)"
"(47.389678849999996, -122.05154889718989)"
"(47.6839635, -122.12020848797515)"
"(47.699167149999994, -122.30605838418367)"
"(47.453944, -122.14711746491227)"
"(47.6764036, -122.3706161416502)"
"(47.524289499999995, -122.33100335428716)"
"(47.68113185, -122.38148655455898)"
"(47.56571028491515, -122.11989580335639)"
"(47.4248001, -122.08119636492829)"
"(47.4952582, -121.7721766)"
"(47.285716699999995, -122.18963718221637)"
"(47.705538679122704, -122.1620871191726)"
"(47.5543444, -122.29598351079918)"
"(47.28100202941176, -122.26310775490197)"
"(47.5350107, -122.37422625050661)"
"(47.7025495, -122.1203633)"
"(47.6550603, -122.3529711)"
"(47.55495535, -122.29447384609786)"
"(47.56326, -122.107139)"
"(47.38102595, -122.18245499972528)"
"(47.5777069, -122.2149119)"
"(47.2733541, -122.25238053014279)"
"(47.746510536128355, -122.28443070755263)"
"(47.61184725, -122.29783416634518)"
"(47.4355064, -122.20528045529328)"
"(47.39065425, -122.30363955139845)"
"(47.369378000000005, -122.035528)"
"(47.60295935, -122.29966286115963)"
"(47.6824588, -122.19468027012829)"
"(47.5245961, -121.8205166)"
"(47.576596369095114, -122.22364903917553)"
"(47.341717, -121.94695750254647)"
"(47.76192179919679, -122.32947754618473)"
"(47.751384619690654, -122.16979787941628)"
"(47.483724550000005, -122.26614802105826)"
"(47.72018835, -122.22649681481195)"
"(47.33895865, -122.26537725)"
"(47.56362296215408, -122.11745893951002)"
"(47.56643085, -122.31499136372747)"
"(47.642185999999995, -122.36735974926422)"
"(47.3264647, -122.271771000928)"
"(47.4359288, -122.17965355471614)"
"(47.4419563, -122.34022029415303)"
"(47.36357035, -122.02633226001512)"
"(47.38518565, -122.31620383766456)"
"(47.5211716, -122.3575421)"
"(47.66725316326531, -122.36704065306122)"
"(47.68555945, -122.3669679513211)"
"(47.6727519, -122.3738512)"
"(47.6741011, -122.3754786)"
"(47.527685149999996, -122.16273937784642)"
"(47.555705849999995, -122.36585379137836)"
"(47.50715805, -122.17389182062163)"
"(47.7418341, -122.3263961)"
"(47.77203886000569, -122.05117954524061)"
"(47.683619, -122.21337577665403)"
"(47.6590355, -122.19002474999999)"
"(47.4199655, -122.2101705905022)"
"(47.620111632653064, -122.06104091836734)"
"(47.6844769, -122.20889282049339)"
"(47.74318985, -122.19430984193171)"
"(47.464208, -122.17062682318661)"
"(47.68318775, -122.1160172)"
"(47.702640599999995, -122.19501840180723)"
"(47.335988650000004, -122.29131525)"
"(47.335988650000004, -122.29131525)"
"(47.586819818181816, -122.17360772727272)"
"(47.6569055, -122.03316347904571)"
"(47.3340149, -122.058922)"
"(47.53278895, -122.37843313987179)"
"(47.53278895, -122.37843313987179)"
"(47.6706428, -122.3815999)"
"(47.4409135, -122.0813598013658)"
"(47.3676895, -122.08373677148438)"
"(47.44771310410457, -121.76647542878625)"
"(47.692716057604905, -121.86663513982973)"
"(47.77170072829746, -122.36969980284735)"
"(47.60060903969958, -122.13357375165074)"
"(47.6956184, -122.10449443659118)"
"(47.51929608925822, -122.04605474705298)"
"(47.51929608925822, -122.04605474705298)"
"(47.645842, -121.902996)"
"(47.4447603, -122.08787078271604)"
"(47.5108726, -122.3559524)"
"(47.52943525, -122.37495671070528)"
"(47.750245824725894, -122.15108051281015)"
"(47.54333685, -122.27128858180745)"
"(47.6406396, -122.3440559717404)"
"(47.6256562, -122.1250054)"
"(47.675372249999995, -122.39754317507251)"
"(47.68357142424242, -122.37666084848485)"
"(47.51816715, -122.34698584979785)"
"(47.32477915, -122.20997097485417)"
"(47.76146048863637, -122.31893584090909)"
"(47.30800485, -122.20940702572314)"
"(47.656397999999996, -122.27432130980316)"
"(47.585415000000005, -122.313382)"
"(47.5671517, -122.1615838)"
"(47.547010099999994, -122.30393897457535)"
"(47.66999275, -122.36890909862822)"
"(47.66035945, -122.29004624964224)"
"(47.77560155555555, -122.28385822222222)"
"(47.3553901, -122.18450735784134)"
"(47.3553901, -122.18450735784134)"
"(47.725555549999996, -122.17521794609664)"
"(47.421608, -122.194347)"
"(47.7244346, -122.16570350117796)"
"(47.7244346, -122.16570350117796)"
"(47.75499506122449, -122.30649093877551)"
"(47.604283, -122.0338016)"
"(47.533300714285716, -122.22444571428571)"
"(47.6537477, -122.3563572)"
"(47.50596435, -122.3718112734598)"
"(47.6233226, -122.1266541)"
"(47.68433925, -122.36754100201834)"
"(47.768528951217355, -122.27516636265942)"
"(47.768528951217355, -122.27516636265942)"
"(47.63678102083333, -122.11828019791668)"
"(47.660476149999994, -122.33326554206224)"
"(47.260887499999995, -122.29453155)"
"(47.6433787, -122.39611065607852)"
"(47.1943088, -121.9697966)"
"(47.686227900000006, -122.31829836926443)"
"(47.717345550000005, -122.32910760366028)"
"(47.261162, -122.20038525)"
"(47.700861700000004, -122.28589384929793)"
"(47.285057699999996, -122.21768488340305)"
"(47.7119354, -122.2009175)"
"(47.703706249999996, -122.31308862317076)"
"(47.210227, -121.95919224999999)"
"(47.3356816, -122.05395706354835)"
"(47.6699205, -122.3914828)"
"(47.68541325, -122.18694287592513)"
"(47.74191694949495, -122.32613677777779)"
"(47.74191694949495, -122.32613677777779)"
"(47.532441815506765, -121.86700843039779)"
"(47.4727075, -122.1861571)"
"(47.4727075, -122.1861571)"
"(47.4727075, -122.1861571)"
"(47.60420517171717, -122.20345413131314)"
"(47.60420517171717, -122.20345413131314)"
"(47.62624016326531, -122.02542301020408)"
"(47.572199100000006, -122.28804890031446)"
"(47.654997, -122.2760449)"
"(47.654997, -122.2760449)"
"(47.54462831937739, -122.18750999391678)"
"(47.55212605, -122.37190201643124)"
"(47.68418535, -122.11815644654169)"
"(47.470955849999996, -122.10188745651807)"
"(47.7179996, -122.2172842736133)"
"(47.515547299999994, -122.17360004544574)"
"(47.31752315, -122.36448317747445)"
"(47.5086075, -122.38984673585)"
"(47.34396845, -122.02941216907391)"
"(47.548168, -122.28781799999999)"
"(47.34169345, -122.066980376927)"
"(47.677108700000005, -122.11031610134587)"
"(47.55372233333333, -121.99063733333332)"
"(47.4539065, -122.278053)"
"(47.4873376, -121.8622122)"
"(47.5669851, -122.28463651849557)"
"(47.629338795918365, -122.10919834693878)"
"(47.486875, -122.15219129775281)"
"(47.617351163265305, -122.20875932653061)"
"(47.67969205, -122.03016363473913)"
"(47.3324522, -122.2565156)"
"(47.6742316, -122.39732827691293)"
"(47.7065676639483, -122.08138890192532)"
"(47.5491248, -122.2759407)"
"(47.30960995, -122.28147270960497)"
"(47.6609294, -122.3546012)"
"(47.77117925, -122.19533645286774)"
"(47.4721632, -122.32801459999999)"
